timestamp,x,y,z
0,4.25,-6.24,5.9
10,4.31,-8.09,7.34
20,4.24,-10.09,7.81
30,4.3,-11.76,7.36
40,5.02,-12.9,6.38
50,5.79,-13.91,5.54
60,6.62,-13.75,5.84
70,7.17,-13.01,7.13
80,7.5,-11.2,9.67
90,8.03,-8.92,12.8
100,7.47,-6.76,15.09
110,6.47,-4.38,17.72
120,5.22,-2.21,20.1
130,4.16,-1.87,21.01
140,3.23,-2.66,20.27
150,2.6,-3.96,18.33
160,2.55,-5.22,16.21
170,3.28,-5.03,15.16
180,4.07,-3.5,14.74
190,4.54,-1.15,14.63
200,4.56,2.28,15.22
210,4.44,6.62,16.72
220,4.34,10.34,18.12
230,5.36,12.58,18.52
240,7.4,12.71,18.32
250,8.25,12.58,16.49
260,8.55,12.38,13.13
270,9.94,10.96,10.31
280,10.64,9.75,7.26
290,10.61,7.83,3.32
300,10.3,7.77,-1.3
310,9.54,5.5,-4.43
320,9.92,3.33,-4.47
330,9.41,2.29,-3.28
340,9.8,0.79,0.51
350,10.09,-1.6,4.73
360,9.69,-4.42,7.18
370,8.62,-7.97,8.43
380,7.96,-11.95,9.18
390,7.08,-14.85,8.26
400,6.31,-16.64,6.35
410,5.54,-16.43,3.85
420,5.7,-15.86,1.87
430,7.29,-15.92,1.8
440,8.15,-15.12,3.78
450,8.66,-12.57,7.3
460,8.8,-9.42,12.45
470,8.45,-6.17,18.33
480,8.39,-2.83,23.65
490,7.69,0.77,26.31
500,6.19,2.51,25.33
510,4.91,1.52,22.26
520,4.38,0.05,19.47
530,4.73,-0.91,18.29
540,4.71,0.08,17.59
550,4.59,2.93,17.75
560,5.71,6.62,18.5
570,4.98,11.13,15.39
580,5.47,13.43,13.41
590,7.92,11.59,14.39
600,9.01,9.45,14.61
610,9.96,9.43,13.49
620,10.32,9.05,11.1
630,10.36,7.27,7.54
640,9.89,4.45,0.95
650,10.48,3.04,-2.85
660,9.35,4.12,-5.12
670,8.4,3.23,-4.08
680,8.84,3.13,-0.71
690,8.89,2.18,3.11
700,9.05,0.58,5.8
710,9.27,-2.07,8.06
720,8.88,-5.65,9.23
730,8.91,-9.82,9.44
740,8.5,-14.46,8.2
750,7.57,-18.66,6.68
760,5.76,-21.34,5.15
770,4.34,-20.69,3.39
780,4.54,-18.34,2.79
790,5.49,-14.84,4.91
800,5.88,-11.89,9.11
810,6.15,-9.52,13.89
820,6.31,-7.13,18.63
830,5.95,-4.32,22.61
840,5.52,-1.61,25.57
850,5.15,1.63,27.12
860,4.96,6.2,26.77
870,5.13,10.89,24.63
880,6.16,15.4,22.38
890,7.74,16.48,19.31
900,8.49,14.57,13.74
910,10.63,14.08,14.58
920,11.18,15.28,14.29
930,12.1,12.23,10.76
940,12.68,8.01,6.0
950,12.06,3.47,2.43
960,10.96,0.21,0.23
970,10.11,-1.38,0.0
980,9.21,-2.33,0.41
990,8.74,-3.19,0.65
1000,8.49,-2.68,1.11
