timestamp,x,y,z
0,-1.95,5.34,1.42
10,-1.37,4.94,3.07
20,-0.78,4.67,4.66
30,-0.35,4.61,5.71
40,-0.51,4.33,6.16
50,-1.36,4.4,6.84
60,-2.45,4.82,8.56
70,-2.63,5.37,12.09
80,-1.89,4.8,16.89
90,-0.82,2.81,21.33
100,-0.26,-0.57,24.05
110,0.39,-5.18,24.92
120,1.19,-1.88,25.55
130,0.86,-5.85,24.3
140,3.57,-6.63,26.68
150,5.53,-9.72,27.75
160,6.65,-11.1,28.51
170,6.83,-12.33,29.42
180,5.01,-11.31,28.33
190,1.63,-9.62,25.91
200,-0.83,-6.92,22.85
210,-2.39,-3.91,19.21
220,-2.44,-1.46,15.39
230,-0.57,-0.76,12.53
240,3.09,-0.44,12.08
250,7.94,-0.58,12.56
260,12.6,-2.25,13.48
270,17.12,-5.15,16.14
280,20.64,-7.76,18.65
290,22.06,-7.82,18.96
300,21.79,-7.27,17.34
310,20.81,-7.02,16.36
320,20.75,-6.53,18.83
330,21.32,-5.96,22.87
340,20.96,-5.89,24.08
350,19.52,-5.63,22.07
360,17.4,-5.06,19.89
370,14.81,-4.28,18.74
380,12.22,-3.13,19.59
390,10.2,-2.65,22.21
400,8.72,-1.7,25.88
410,7.25,-0.54,27.55
420,5.88,0.26,26.41
430,4.98,0.5,23.83
440,4.21,-0.03,22.12
450,3.15,-0.7,21.19
460,1.58,-1.01,20.74
470,-0.28,-0.43,20.75
480,-2.08,0.66,21.05
490,-3.41,1.45,19.87
500,-3.95,1.6,17.35
510,-4.07,1.01,14.78
520,-3.97,0.6,13.47
530,-3.5,0.43,12.82
540,-2.84,0.41,12.3
550,-2.04,0.4,11.31
560,-1.25,0.13,9.88
570,-0.77,0.2,8.88
580,-0.61,0.14,7.57
590,-1.38,-0.54,5.85
600,-1.61,-0.26,5.02
610,-1.63,0.73,4.08
620,-1.47,1.92,1.98
630,-1.51,2.52,-1.03
640,-1.52,2.44,-3.94
650,-1.19,1.95,-5.89
660,-0.6,0.98,-6.86
670,0.21,0.31,-6.7
680,0.85,-0.42,-5.83
690,1.35,-0.98,-4.19
700,1.7,-1.13,-2.21
710,1.94,-0.76,-0.87
720,1.94,-0.66,-1.07
730,1.8,-1.1,-2.31
740,1.78,-1.76,-3.25
750,1.83,-2.55,-3.26
760,1.77,-3.11,-2.55
770,1.51,-3.23,-1.73
780,1.05,-3.18,-1.35
790,0.81,-3.64,-1.48
800,1.19,-4.39,-1.54
810,1.85,-5.39,-1.74
820,2.57,-6.58,-1.91
830,3.27,-7.5,-1.85
840,3.52,-7.95,-1.77
850,3.22,-7.84,-1.71
860,2.38,-7.78,-2.01
870,1.45,-7.94,-2.43
880,0.72,-8.1,-2.53
890,0.22,-8.32,-2.29
900,-0.01,-8.76,-1.74
910,-0.01,-9.17,-0.93
920,0.14,-9.41,-0.19
930,0.31,-9.47,-0.04
940,0.55,-9.48,-0.74
950,0.88,-9.62,-2.09
960,1.25,-10.11,-3.39
970,1.51,-10.72,-3.67
980,1.62,-11.07,-2.62
990,1.59,-11.12,-0.91
1000,1.44,-11.01,0.55
