timestamp,x,y,z
0,0.19,13.14,4.74
10,-1.55,26.68,4.52
20,-0.61,30.67,7.11
30,1.75,31.3,10.77
40,3.94,28.61,14.03
50,5.51,23.46,17.61
60,7.71,16.39,20.53
70,9.91,8.44,20.72
80,11.7,1.02,18.71
90,12.41,-5.28,15.4
100,12.76,-10.61,12.16
110,12.38,-14.22,9.43
120,11.61,-17.05,8.03
130,10.52,-19.14,7.94
140,9.47,-19.78,8.57
150,8.51,-19.88,9.88
160,7.4,-19.14,11.36
170,6.31,-17.83,12.8
180,5.39,-16.12,13.51
190,4.55,-13.37,12.98
200,3.71,-10.4,11.98
210,2.96,-7.97,10.83
220,2.34,-6.28,9.74
230,1.71,-5.2,8.98
240,1.38,-4.56,8.74
250,1.08,-4.36,8.54
260,0.97,-4.46,8.09
270,1.05,-4.85,7.74
280,1.28,-5.66,7.71
290,1.45,-6.47,7.92
300,1.9,-6.66,7.99
310,2.4,-7.11,8.11
320,2.85,-7.51,8.32
330,2.98,-8.58,8.17
340,3.21,-10.01,7.91
350,3.26,-11.48,7.79
360,3.45,-12.49,7.96
370,3.89,-12.9,8.37
380,4.3,-12.31,8.69
390,4.76,-11.2,8.92
400,5.26,-9.69,9.25
410,5.51,-7.9,9.87
420,5.47,-5.38,10.65
430,5.31,-2.53,11.37
440,5.26,-0.07,11.48
450,5.17,2.04,10.88
460,4.62,3.94,10.74
470,4.15,5.49,10.99
480,3.7,6.45,11.27
490,3.3,6.8,12.25
500,2.91,6.66,13.57
510,2.69,6.91,13.89
520,2.39,7.19,13.9
530,2.22,7.38,13.8
540,2.01,7.6,13.22
550,1.71,7.74,12.25
560,1.55,7.49,11.36
570,1.64,6.97,10.52
580,1.78,6.64,9.95
590,1.79,6.74,10.02
600,1.84,7.38,10.18
610,1.96,8.0,10.22
620,2.13,8.73,10.43
630,2.15,9.57,11.09
640,2.26,10.13,12.13
650,2.6,10.61,12.96
660,3.25,10.92,12.83
670,3.86,11.48,11.96
680,4.62,12.35,11.0
690,5.25,12.11,10.65
700,5.69,12.77,11.82
710,7.04,10.89,10.09
720,8.03,8.21,9.6
730,8.5,4.92,10.38
740,8.44,3.45,11.68
750,8.86,2.77,12.5
760,9.73,0.91,12.18
770,10.31,-2.32,11.66
780,10.11,-6.73,11.18
790,10.69,-12.61,12.16
800,9.49,-16.08,11.27
810,7.58,-16.34,10.37
820,7.19,-15.65,12.84
830,5.96,-14.31,14.4
840,5.14,-12.56,14.56
850,4.28,-10.4,14.87
860,3.46,-8.26,15.2
870,2.69,-6.68,15.06
880,2.38,-5.59,14.76
890,1.98,-5.64,13.51
900,1.73,-6.14,12.56
910,1.56,-6.94,11.73
920,1.41,-7.31,10.92
930,1.27,-7.4,9.97
940,1.14,-7.3,9.21
950,1.03,-7.09,8.83
960,1.01,-6.45,8.88
970,0.99,-5.49,9.24
980,0.96,-4.73,9.72
990,0.85,-3.95,10.05
1000,0.79,-3.47,10.41
