timestamp,x,y,z
0,2.86,-3.18,8.99
10,2.89,-3.21,8.99
20,2.92,-3.24,8.96
30,2.91,-3.24,8.89
40,2.84,-3.27,8.79
50,2.76,-3.21,8.68
60,2.72,-3.16,8.63
70,2.74,-3.15,8.61
80,2.83,-3.12,8.64
90,3.02,-3.09,8.69
100,3.25,-3.06,8.74
110,3.56,-3.09,8.78
120,3.86,-3.18,8.81
130,4.17,-3.31,8.82
140,4.42,-3.52,8.88
150,4.71,-3.59,8.83
160,5.02,-3.53,8.88
170,5.28,-3.43,8.93
180,5.54,-3.3,8.95
190,5.75,-3.27,8.98
200,5.95,-3.32,8.89
210,6.19,-3.31,8.93
220,6.49,-3.27,8.9
230,6.72,-3.35,8.85
240,6.96,-3.5,8.79
250,7.07,-3.7,8.75
260,7.17,-3.83,8.68
270,7.16,-3.75,8.56
280,7.25,-3.28,8.49
290,7.35,-3.07,8.5
300,7.42,-2.89,8.58
310,7.43,-2.75,8.72
320,7.44,-2.52,8.86
330,7.42,-2.36,8.98
340,7.23,-2.36,9.11
350,6.83,-2.28,9.15
360,6.37,-2.32,9.17
370,5.8,-2.12,9.25
380,5.12,-2.11,9.32
390,4.43,-2.4,9.38
400,3.14,-3.7,9.14
410,1.67,-4.1,8.88
420,0.15,-3.73,8.22
430,-1.54,-2.66,7.49
440,-3.39,-0.99,6.79
450,-5.61,0.58,6.39
460,-8.24,2.58,6.61
470,-11.22,4.57,7.77
480,-15.27,7.01,11.21
490,-16.59,9.38,13.59
500,-17.39,11.21,17.31
510,-16.84,11.71,21.31
520,-14.73,11.04,24.55
530,-11.78,9.61,26.39
540,-9.26,8.57,26.17
550,-7.57,8.15,24.21
560,-6.99,8.79,20.82
570,-7.06,10.5,17.08
580,-6.63,12.45,14.03
590,-4.75,13.73,11.99
600,-1.51,14.24,10.64
610,2.49,14.49,9.16
620,6.43,14.45,7.8
630,10.27,14.01,6.79
640,14.33,13.32,6.31
650,18.07,11.5,6.72
660,20.79,9.07,8.51
670,23.8,8.13,10.74
680,27.07,8.82,12.26
690,30.02,10.43,12.83
700,32.5,11.88,12.38
710,34.16,12.57,11.57
720,35.41,11.88,10.78
730,36.26,9.09,9.17
740,34.21,5.25,8.12
750,31.4,3.45,5.84
760,27.6,3.96,3.64
770,23.91,5.23,3.17
780,20.83,6.54,4.47
790,18.32,7.38,6.76
800,16.38,7.57,9.09
810,14.96,7.58,11.56
820,12.97,7.2,13.46
830,10.21,6.85,14.68
840,7.38,7.02,14.96
850,4.66,7.29,15.27
860,0.64,5.78,15.27
870,-4.55,4.38,15.52
880,-10.51,4.96,15.94
890,-14.66,8.23,15.08
900,-20.23,11.3,13.2
910,-26.18,15.35,12.02
920,-28.36,19.67,13.99
930,-27.09,17.76,19.44
940,-23.91,14.06,25.37
950,-20.93,11.79,29.02
960,-18.72,11.55,29.42
970,-16.95,12.18,26.08
980,-14.54,12.77,20.98
990,-11.46,12.16,16.14
1000,-8.7,10.74,12.03
